Id,Time[ns],0:UART: RX/TX
340,668583000.00000000000000000000,2
341,668667000.00000000000000000000,2
342,668750000.00000000000000000000,0
343,668833000.00000000000000000000,0
344,668916000.00000000000000000000, 
345,668999000.00000000000000000000,[0D]
346,669083000.00000000000000000000,[0A]
347,1006165000.00000000000000000000,[D3]
348,1006248000.00000000000000000000,c
349,1006331000.00000000000000000000,o
350,1006414000.00000000000000000000,r
351,1006497000.00000000000000000000,p
352,1006581000.00000000000000000000,[E9]
353,1006664000.00000000000000000000,o
354,1006747000.00000000000000000000,n
355,1006830000.00000000000000000000, 
356,1006913000.00000000000000000000,-
357,1006997000.00000000000000000000,[AD]
358,1007080000.00000000000000000000,-
359,1007163000.00000000000000000000,-
360,1007246000.00000000000000000000,>
361,1007329000.00000000000000000000,S
362,1007412000.00000000000000000000,2
363,1007496000.00000000000000000000,7
364,1007579000.00000000000000000000, 
365,1007662000.00000000000000000000,P
366,1007745000.00000000000000000000,H
367,1007828000.00000000000000000000,Y
368,1007912000.00000000000000000000,*
369,1007995000.00000000000000000000,[0D]
370,1008078000.00000000000000000000,[0A]
371,1009601000.00000000000000000000,[D3]
372,1009684000.00000000000000000000,2
373,1009767000.00000000000000000000,7
374,1009850000.00000000000000000000, 
375,1009933000.00000000000000000000,r
376,1010017000.00000000000000000000,[E5]
377,1010100000.00000000000000000000,g
378,1010183000.00000000000000000000, 
379,1010266000.00000000000000000000,i
380,1010349000.00000000000000000000,n
381,1010433000.00000000000000000000,[E9]
382,1010516000.00000000000000000000,t
383,1010599000.00000000000000000000,[0D]
384,1010682000.00000000000000000000,[0A]
385,1010765000.00000000000000000000,:
386,1010849000.00000000000000000000,[A0]
387,1010932000.00000000000000000000,c
388,1011015000.00000000000000000000,f
389,1011098000.00000000000000000000,g
390,1011181000.00000000000000000000,1
391,1011265000.00000000000000000000,[A0]
392,1011348000.00000000000000000000,0
393,1011431000.00000000000000000000,x
394,1011514000.00000000000000000000,8
395,1011597000.00000000000000000000,0
396,1011681000.00000000000000000000,[B0]
397,1011764000.00000000000000000000,c
398,1011847000.00000000000000000000,0
399,1011930000.00000000000000000000,0
400,1012013000.00000000000000000000,0
401,1012097000.00000000000000000000,[B0]
402,1012180000.00000000000000000000, 
403,1012263000.00000000000000000000,c
404,1012346000.00000000000000000000,f
405,1012429000.00000000000000000000,g
406,1012512000.00000000000000000000,2
407,1012596000.00000000000000000000, 
408,1012679000.00000000000000000000,0
409,1012762000.00000000000000000000,x
410,1012845000.00000000000000000000,7
411,1012928000.00000000000000000000,1
412,1013012000.00000000000000000000,1
413,1013095000.00000000000000000000,4
414,1013178000.00000000000000000000,[0D]
415,1013261000.00000000000000000000,[0A]
416,1173183000.00000000000000000000,e
417,1173266000.00000000000000000000,t
418,1173349000.00000000000000000000,h
419,1173433000.00000000000000000000,[B0]
420,1173516000.00000000000000000000,:
421,1173599000.00000000000000000000, 
422,1173682000.00000000000000000000,b
423,1173765000.00000000000000000000,a
424,1173849000.00000000000000000000,[BA]
425,1173932000.00000000000000000000,b
426,1174015000.00000000000000000000,e
427,1174098000.00000000000000000000,:
428,1174181000.00000000000000000000,f
429,1174265000.00000000000000000000,[E1]
430,1174348000.00000000000000000000,:
431,1174431000.00000000000000000000,c
432,1174514000.00000000000000000000,e
433,1174597000.00000000000000000000,:
434,1174681000.00000000000000000000,[B0]
435,1174764000.00000000000000000000,8
436,1174847000.00000000000000000000,:
437,1174930000.00000000000000000000,4
438,1175013000.00000000000000000000,1
439,1175097000.00000000000000000000,[8D]
440,1175180000.00000000000000000000,[0A]
441,1175263000.00000000000000000000,a
442,1175346000.00000000000000000000,t
443,1175429000.00000000000000000000,h
444,1175513000.00000000000000000000,[F2]
445,1175596000.00000000000000000000,s
446,1175679000.00000000000000000000,2
447,1175762000.00000000000000000000,7
448,1175845000.00000000000000000000,_
449,1175928000.00000000000000000000,p
450,1176012000.00000000000000000000,h
451,1176095000.00000000000000000000,y
452,1176178000.00000000000000000000,_
453,1176261000.00000000000000000000,s
454,1176344000.00000000000000000000,e
455,1176428000.00000000000000000000,t
456,1176511000.00000000000000000000,u
457,1176594000.00000000000000000000,p
458,1176677000.00000000000000000000, 
459,1176760000.00000000000000000000,A
460,1176844000.00000000000000000000,T
461,1176927000.00000000000000000000,H
462,1177010000.00000000000000000000,R
463,1177093000.00000000000000000000,_
464,1177176000.00000000000000000000,P
465,1177260000.00000000000000000000,H
466,1177343000.00000000000000000000,Y
467,1177426000.00000000000000000000,_
468,1177509000.00000000000000000000,C
469,1177592000.00000000000000000000,O
470,1177676000.00000000000000000000,N
471,1177759000.00000000000000000000,T
472,1177842000.00000000000000000000,R
473,1177925000.00000000000000000000,O
474,1178008000.00000000000000000000,L
475,1178092000.00000000000000000000,[A0]
476,1178175000.00000000000000000000,4
477,1178258000.00000000000000000000, 
478,1178341000.00000000000000000000,:
479,1178424000.00000000000000000000,1
480,1178508000.00000000000000000000,[B0]
481,1178591000.00000000000000000000,0
482,1178674000.00000000000000000000,0
483,1178757000.00000000000000000000,[0D]
484,1178840000.00000000000000000000,[0A]
485,1178924000.00000000000000000000,[E1]
486,1179007000.00000000000000000000,t
487,1179090000.00000000000000000000,h
488,1179173000.00000000000000000000,r
489,1179256000.00000000000000000000,s
490,1179340000.00000000000000000000,[B2]
491,1179423000.00000000000000000000,7
492,1179506000.00000000000000000000,_
493,1179589000.00000000000000000000,p
494,1179672000.00000000000000000000,h
495,1179756000.00000000000000000000,[F9]
496,1179839000.00000000000000000000,_
497,1179922000.00000000000000000000,s
498,1180005000.00000000000000000000,e
499,1180088000.00000000000000000000,t
500,1180172000.00000000000000000000,[F5]
501,1180255000.00000000000000000000,p
502,1180338000.00000000000000000000, 
503,1180421000.00000000000000000000,A
504,1180504000.00000000000000000000,T
505,1180588000.00000000000000000000,[C8]
506,1180671000.00000000000000000000,R
507,1180754000.00000000000000000000,_
508,1180837000.00000000000000000000,P
509,1180920000.00000000000000000000,H
510,1181004000.00000000000000000000,[D9]
511,1181087000.00000000000000000000,_
512,1181170000.00000000000000000000,S
513,1181253000.00000000000000000000,P
514,1181336000.00000000000000000000,E
515,1181420000.00000000000000000000,[C3]
516,1181503000.00000000000000000000,_
517,1181586000.00000000000000000000,S
518,1181669000.00000000000000000000,T
519,1181752000.00000000000000000000,A
520,1181835000.00000000000000000000,U
521,1181919000.00000000000000000000,S
522,1182002000.00000000000000000000, 
523,1182085000.00000000000000000000,4
524,1182168000.00000000000000000000, 
525,1182251000.00000000000000000000,:
526,1182335000.00000000000000000000,1
527,1182418000.00000000000000000000,0
528,1182501000.00000000000000000000,[0D]
529,1182584000.00000000000000000000,[0A]
530,1663290000.00000000000000000000,[E5]
531,1663373000.00000000000000000000,t
532,1663456000.00000000000000000000,h
533,1663539000.00000000000000000000,0
534,1663622000.00000000000000000000, 
535,1663706000.00000000000000000000,[F5]
536,1663789000.00000000000000000000,p
537,1663872000.00000000000000000000,[0D]
